Types of task,,
,B,Bug
,C,Code development
,D,Documentation
,F,Feature
,R,Research
,,
,,
Team,,
,ACA,Arlem Aleida Castillo Avila
,FOE,Felipe Orihuela-Espina
,PHW,Patrick Heyer-Wollenberg
,JHV,Javier Herrera-Vega
,SMH,Samuel Montero Hernandez
,RM,Rodrigo Matsui
